date,region_id,admissions,age_group,sex,temp_mean,temp_min,temp_max,dew_point,rel_humidity,pm25,is_holiday
2020-01-01,R1,11,65-74,F,15.3,11.4,21.1,10.7,74,15.3,1
2020-01-02,R1,14,65-74,F,16.9,11.9,21.7,6.3,49,31.3,0
2020-01-03,R1,9,55-64,F,15.7,10.3,21.1,9.4,66,36.1,0
2020-01-04,R1,11,65-74,F,15.7,9.6,20.6,4.6,47,21.4,0
2020-01-05,R1,10,65-74,F,14.6,8.9,18.1,5.7,55,23.3,0
2020-01-06,R1,9,85+,M,12.2,6.3,17.0,-0.8,40,20.1,0
2020-01-07,R1,7,65-74,F,15.4,10.9,20.6,9.9,69,24.4,0
2020-01-08,R1,14,85+,M,12.1,8.3,17.5,2.7,52,26.1,0
2020-01-09,R1,14,55-64,M,12.7,8.2,17.7,-2.5,34,19.0,0
2020-01-10,R1,16,45-54,M,16.8,12.1,22.5,5.1,45,25.3,0
2020-01-11,R1,13,45-54,F,7.5,2.1,12.8,-2.0,51,19.3,0
2020-01-12,R1,10,75-84,M,12.6,6.0,17.4,0.9,44,27.5,0
2020-01-13,R1,10,85+,F,13.4,7.0,17.2,3.3,50,22.1,0
2020-01-14,R1,13,55-64,M,11.5,8.0,15.5,5.1,64,31.1,0
2020-01-15,R1,17,55-64,F,12.8,8.6,17.4,2.9,50,26.3,0
2020-01-16,R1,9,85+,F,8.8,5.4,13.3,1.2,59,36.0,0
2020-01-17,R1,10,55-64,F,9.5,2.4,13.7,4.8,72,22.7,0
2020-01-18,R1,10,85+,F,11.4,7.1,16.9,2.2,53,21.2,0
2020-01-19,R1,17,55-64,M,12.0,7.5,18.1,6.0,66,35.1,0
2020-01-20,R1,8,75-84,F,16.2,9.5,21.0,6.9,54,34.9,0
2020-01-21,R1,7,45-54,M,13.0,8.4,18.0,4.8,57,29.4,0
2020-01-22,R1,15,85+,F,4.8,-0.2,8.9,-7.2,41,23.4,0
2020-01-23,R1,10,55-64,F,10.8,6.3,15.5,6.6,75,30.6,0
2020-01-24,R1,12,75-84,M,9.9,4.7,15.1,-1.9,43,28.5,0
2020-01-25,R1,11,55-64,F,11.4,5.2,15.7,1.4,50,17.4,0
2020-01-26,R1,7,55-64,M,16.9,12.5,21.0,8.7,58,19.4,0
2020-01-27,R1,7,45-54,M,15.3,11.3,20.1,10.2,71,30.5,0
2020-01-28,R1,11,65-74,F,9.3,4.5,14.5,-0.2,51,30.8,0
2020-01-29,R1,13,55-64,M,10.0,5.0,14.3,3.7,64,28.0,0
2020-01-30,R1,16,75-84,M,7.4,3.5,13.6,1.0,63,31.0,0
2020-01-31,R1,11,85+,M,8.7,3.8,13.4,1.9,62,36.0,0
2020-02-01,R1,9,55-64,M,10.3,5.7,13.5,4.0,64,37.4,0
2020-02-02,R1,9,85+,M,9.1,5.1,13.7,5.7,79,31.8,0
2020-02-03,R1,14,45-54,M,14.4,8.9,20.2,5.6,55,29.3,0
2020-02-04,R1,19,65-74,M,11.3,6.5,17.5,6.3,71,38.1,0
2020-02-05,R1,10,85+,F,5.3,0.8,11.8,0.2,69,25.6,0
2020-02-06,R1,12,75-84,F,6.7,1.4,12.9,1.4,69,17.7,0
2020-02-07,R1,16,75-84,M,6.8,1.2,10.2,4.0,82,31.1,0
2020-02-08,R1,6,65-74,M,11.7,6.4,16.9,5.1,64,25.0,0
2020-02-09,R1,13,85+,F,11.3,7.4,16.2,8.4,82,25.6,0
2020-02-10,R1,14,55-64,F,8.2,1.9,14.1,3.6,72,32.2,0
2020-02-11,R1,11,65-74,M,12.9,8.3,18.0,9.4,79,21.4,0
2020-02-12,R1,10,45-54,F,9.3,3.7,14.5,-4.1,38,18.0,0
2020-02-13,R1,8,55-64,M,9.9,4.8,15.7,3.3,63,32.2,0
2020-02-14,R1,13,45-54,M,10.2,5.6,15.7,1.8,56,29.0,0
2020-02-15,R1,3,45-54,F,3.1,0.5,7.5,-1.6,71,28.2,0
2020-02-16,R1,8,45-54,M,11.5,6.4,15.7,1.8,51,22.3,0
2020-02-17,R1,14,55-64,F,12.5,8.9,17.9,0.7,44,32.1,0
2020-02-18,R1,14,55-64,F,5.4,1.0,9.4,-4.1,50,31.9,0
2020-02-19,R1,8,65-74,F,11.1,6.4,14.6,7.0,76,28.2,0
2020-02-20,R1,12,45-54,M,8.1,1.1,15.2,1.0,61,30.6,0
2020-02-21,R1,12,75-84,M,6.9,1.5,11.0,-7.2,36,19.5,0
2020-02-22,R1,15,75-84,M,3.9,-1.4,8.5,-4.1,55,30.8,0
2020-02-23,R1,18,65-74,F,3.3,-1.7,10.9,-3.0,63,37.1,0
2020-02-24,R1,5,85+,F,6.1,1.9,11.6,-4.3,47,33.3,0
